epoch,average_train_loss,average_validation_loss,training_seconds,training_hours,validation_seconds,main_learning_rate,backbone_learning_rate,completion_time
1,2.669919496008392,2.356624818372816,3720.9289786000154,1.0335913829444487,251.22094960004324,0.0001,1e-05,2026-07-22T13:15:29
2,2.142195800148967,1.8882443545211791,8788.364653800032,2.441212403833342,251.5854163999902,0.0001,1e-05,2026-07-22T16:16:38
3,1.8803835341614716,1.697843568013067,3940.0749780000187,1.0944652716666718,341.4082323000184,0.0001,1e-05,2026-07-22T17:46:37
4,1.7400714309067176,1.7550490897330229,3999.6111987999757,1.111003110777771,272.0691834000172,0.0001,1e-05,2026-07-22T19:02:47
5,1.661422697681308,1.63469483168998,52240.026699599985,14.511118527666662,248.14990040002158,0.0001,1e-05,2026-07-23T11:07:41
6,1.3685816335514962,1.2874028298700375,4173.6660680000205,1.1593516855555612,249.2239496000111,1e-05,1.0000000000000002e-06,2026-07-23T12:29:52
7,1.269332111605665,1.232704552378009,8312.929756800004,2.3091471546666678,372.2975593000301,1e-05,1.0000000000000002e-06,2026-07-23T15:20:59
8,1.2177453289033129,1.2019440689584378,6630.308902399964,1.8417524728888788,249.37036290002288,1e-05,1.0000000000000002e-06,2026-07-23T17:21:09
9,1.1759732138231445,1.178760255537283,6419.287830999994,1.7831355086111096,262.90484729997115,1e-05,1.0000000000000002e-06,2026-07-23T19:24:51
10,1.148678573308047,1.157855187086741,58430.45310529997,16.23068141813888,661.9619129999774,1e-05,1.0000000000000002e-06,2026-07-24T13:18:14
11,1.1099081521440974,1.1462732903545463,7773.78311440011,2.1593841984444753,258.3772004999919,1.0000000000000002e-06,1.0000000000000002e-07,2026-07-24T15:38:44
12,1.105888135757072,1.1431484567980936,5323.848626399995,1.4788468406666653,474.1030938999029,1.0000000000000002e-06,1.0000000000000002e-07,2026-07-24T17:18:36
