epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,892.674,1.63783,1.86999,1.10771,0.73205,0.3575,0.41218,0.25802,1.2422,1.2052,0.97184,0.00041651,0.00041651,0.00041651
2,1744.44,1.43734,1.32902,1.03149,0.58294,0.46201,0.49131,0.31394,1.17923,1.09892,0.96042,0.000805682,0.000805682,0.000805682
3,2593.11,1.37794,1.20876,1.00891,0.61762,0.49235,0.53906,0.34212,1.15526,1.00331,0.9484,0.00116735,0.00116735,0.00116735
4,3770.78,1.34383,1.14668,0.99981,0.66156,0.51498,0.57345,0.36459,1.11355,0.93977,0.9384,0.00112625,0.00112625,0.00112625
5,4621.67,1.30352,1.09849,0.99098,0.72699,0.51258,0.59593,0.38856,1.07897,0.93326,0.93117,0.001085,0.001085,0.001085
6,5475.42,1.28371,1.07874,0.98357,0.65776,0.52975,0.5776,0.37867,1.06544,0.8956,0.93009,0.00104375,0.00104375,0.00104375
7,6328.59,1.25989,1.03162,0.97816,0.65972,0.55939,0.59737,0.39713,1.06663,0.88614,0.93035,0.0010025,0.0010025,0.0010025
8,7188.68,1.238,0.99911,0.96903,0.66781,0.54976,0.60024,0.39198,1.09641,0.89815,0.93357,0.00096125,0.00096125,0.00096125
9,8039.2,1.23899,0.98051,0.96862,0.69257,0.55035,0.60488,0.41096,1.02552,0.82133,0.91852,0.00092,0.00092,0.00092
10,8887.76,1.21746,0.96148,0.96008,0.69974,0.59716,0.64779,0.43864,1.01151,0.80372,0.91034,0.00087875,0.00087875,0.00087875
11,9736.46,1.19682,0.943,0.95909,0.68763,0.57603,0.62591,0.42416,1.01817,0.80674,0.91371,0.0008375,0.0008375,0.0008375
12,10585.9,1.1892,0.92988,0.95359,0.69649,0.57191,0.63528,0.42461,1.02169,0.79991,0.90868,0.00079625,0.00079625,0.00079625
13,11437.8,1.17548,0.92067,0.95295,0.70237,0.59204,0.64607,0.43242,1.02626,0.80847,0.91028,0.000755,0.000755,0.000755
14,12291.3,1.17099,0.90322,0.94518,0.67972,0.55499,0.61333,0.41759,1.00145,0.78362,0.90556,0.00071375,0.00071375,0.00071375
15,13145.1,1.1566,0.89416,0.94322,0.66621,0.54082,0.60202,0.41126,0.98909,0.77916,0.90257,0.0006725,0.0006725,0.0006725
16,13999.5,1.14316,0.87997,0.94287,0.72315,0.57219,0.65188,0.44043,0.96397,0.77404,0.89992,0.00063125,0.00063125,0.00063125
17,14848,1.13451,0.87381,0.94183,0.72322,0.59932,0.66871,0.46154,0.96169,0.73728,0.8956,0.00059,0.00059,0.00059
18,15694,1.12361,0.85449,0.93704,0.68717,0.5866,0.6394,0.44024,0.96348,0.74854,0.89782,0.00054875,0.00054875,0.00054875
19,16538.8,1.11406,0.83897,0.93114,0.7054,0.60527,0.64984,0.45075,0.94188,0.73045,0.89386,0.0005075,0.0005075,0.0005075
20,17384.1,1.10956,0.8342,0.93034,0.6959,0.60973,0.6599,0.44845,0.97701,0.74419,0.89468,0.00046625,0.00046625,0.00046625
21,18217.3,1.08607,0.8379,0.92371,0.6938,0.57139,0.62966,0.43729,0.95405,0.73976,0.89673,0.000425,0.000425,0.000425
22,19053.7,1.0662,0.81804,0.92075,0.68151,0.59448,0.643,0.44695,0.95742,0.74535,0.89754,0.00038375,0.00038375,0.00038375
23,19886.1,1.05309,0.79029,0.91563,0.70157,0.60508,0.65776,0.4517,0.94772,0.73689,0.89499,0.0003425,0.0003425,0.0003425
24,20721.8,1.03783,0.78053,0.91185,0.6864,0.59242,0.63896,0.44682,0.94279,0.72441,0.89357,0.00030125,0.00030125,0.00030125
